,num,ra,dec,Rmag,redshift,ra_galex,dec_galex,fuv_mag,nuv_mag,fuv_magerr,nuv_magerr,fuv_flux,nuv_flux,fuv_fluxerr,nuv_fluxerr,angularsep
195,352,13.63894,-28.44222,21.62,0.8084,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,115.97697013577843
196,353,13.63956,-28.44435,21.58,0.78863,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,117.95522892179343
197,354,13.67234,-28.44813,22.76,1.09584,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,222.34922987684251
198,355,13.63982,-28.45039,0.0,0.694,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,121.48567725157707
199,357,13.62898,-28.45427,21.55,0.7352,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,93.31224127811784
200,358,13.64871,-28.45751,21.31,0.58469,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,155.60203493796473
201,359,13.60613,-28.45933,21.13,0.44446,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,59.27571086134863
202,360,13.66829,-28.46147,20.69,0.48472,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,218.91335291783975
203,361,13.66825,-28.54524,21.6,0.63443,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,396.7197903686339
204,362,13.65093,-28.5516,21.56,0.63359,13.565122308223,-28.4788086311883,-999.0,22.02813,-999.0,0.6171795,-999.0,5.60721,-999.0,3.186607,377.2879082402365
205,363,13.6495,-28.54766,20.09,0.20285,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,363.67126280160545
206,364,13.6515,-28.54286,21.62,0.64323,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,354.2832808189232
207,365,13.65889,-28.53384,21.76,0.29039,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,346.94904662429275
208,366,13.66835,-28.52221,21.87,0.26579,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,344.01875152460923
209,367,13.66669,-28.52184,21.29,0.47194,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,338.9435968027624
210,368,13.63122,-28.54706,20.84,0.41896,13.565122308223,-28.4788086311883,-999.0,22.02813,-999.0,0.6171795,-999.0,5.60721,-999.0,3.186607,322.62933528328784
211,369,13.63776,-28.53873,21.52,0.65654,13.565122308223,-28.4788086311883,-999.0,22.02813,-999.0,0.6171795,-999.0,5.60721,-999.0,3.186607,315.1764737254644
212,370,13.69033,-28.48981,22.09,0.2252,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,325.1536015897023
213,371,13.65487,-28.51759,21.54,0.76382,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,299.6494224566744
214,372,13.63064,-28.53653,21.1,0.52288,13.565122308223,-28.4788086311883,-999.0,22.02813,-999.0,0.6171795,-999.0,5.60721,-999.0,3.186607,293.494023954771
215,373,13.63758,-28.52599,20.5,0.29439,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,279.57261270911255
216,374,13.63275,-28.52499,20.47,0.36442,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,266.87337579391976
217,375,13.63433,-28.51802,20.07,0.32377,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,251.57144821077995
218,376,13.62988,-28.51775,19.4,0.32407,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,241.2272267798351
219,377,13.62739,-28.5179,22.09,0.24777,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,236.4322027445851
220,378,13.62395,-28.51627,20.37,0.32478,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,224.94228076083752
221,379,13.62918,-28.51061,20.42,0.32463,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,221.2119907038029
222,380,13.63134,-28.50576,22.5,0.32245,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,214.73107585524252
223,381,13.60605,-28.52516,20.36,0.29481,13.565122308223,-28.4788086311883,-999.0,22.02813,-999.0,0.6171795,-999.0,5.60721,-999.0,3.186607,211.20971565285686
224,382,13.6022,-28.52676,20.86,0.35439,13.565122308223,-28.4788086311883,-999.0,22.02813,-999.0,0.6171795,-999.0,5.60721,-999.0,3.186607,208.70774230991904
225,383,13.60933,-28.51596,20.47,0.48497,13.565122308223,-28.4788086311883,-999.0,22.02813,-999.0,0.6171795,-999.0,5.60721,-999.0,3.186607,193.51995469587501
226,384,13.61691,-28.5032,19.87,0.16191,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,174.9139101285722
227,385,13.65023,-28.46424,21.47,0.22225,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,169.4941598148361
228,386,13.6146,-28.49179,20.83,0.63155,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,141.99941941685316
229,387,13.64054,-28.46539,20.87,0.58446,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,144.9513466630191
230,388,13.62084,-28.47944,19.92,0.41494,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,139.24624246352752
231,389,13.6155,-28.47894,21.48,0.49121,13.5788067786096,-28.4679989559156,-999.0,22.06491,-999.0,0.4042951,-999.0,5.420435,-999.0,2.017915,122.61551053277715
232,390,13.62847,-28.46398,21.17,0.58392,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,111.54579738651104
